id,name,mile,mile_end,latitude,longitude,has_amenity_data,parking,restrooms,water,picnic_tables,camping,camping_fee_area,camping_tent,boat_ramp,canoe_kayak_ramp,visitor_center,food,bike_rentals,boat_rentals,canal_quarters,fee_area,source_ids
access-georgetown-0-0,Georgetown,0.0,1.1,38.904167,-77.060133,true,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-fletchers-cove-3-1,Fletchers Cove,3.1,,38.918691,-77.102019,true,true,true,false,true,false,false,false,false,false,false,true,true,true,false,false,co_canal_association_access_points|nps_recreation_guide
access-chain-bridge-4-0,Chain Bridge,4.0,,38.932841,-77.112844,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-brookmont-footbridge-5-0,Brookmont footbridge,5.0,,38.939982,-77.120157,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-lock-6-5-4,Lock 6,5.4,,38.944737,-77.123348,true,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,co_canal_association_access_points|nps_recreation_guide
access-valley-road-brookmont-5-4,Valley Road (Brookmont),5.4,,38.94546,-77.122672,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-sycamore-island-6-4,Sycamore Island,6.4,,38.95832,-77.131465,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-walhonding-road-footbridge-6-4,Walhonding Road footbridge,6.4,,38.958303,-77.130849,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-lock-7-7-0,Lock 7,7.0,,38.964611,-77.138363,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-cabin-john-aqueduct-7-7,Cabin John Aqueduct,7.7,,38.972854,-77.147357,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-lock-8-8-3,Lock 8,8.3,,38.971559,-77.160636,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-riverside-drive-8-3,Riverside Drive,8.3,,38.97208,-77.1621,false,,,,,,,,,,,,,,,,co_canal_association_access_points
