id,name,feature_type,mile,mile_end,latitude,longitude,source_ids
access-georgetown-0-0,Georgetown,access_point,0.0,1.1,38.904167,-77.060133,co_canal_association_access_points|nps_recreation_guide
nps-thompson-boat-center-0-1,Thompson Boat Center,recreation_location,0.1,,38.904128,-77.058575,nps_recreation_guide|nps_towpath_reference
lock-1,Lock 1,lock,0.3,,38.904312,-77.062282,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-2,Lock 2,lock,0.3,,38.904312,-77.062282,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-3,Lock 3,lock,0.4,,38.904339,-77.06415,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-4,Lock 4,lock,0.4,,38.904339,-77.06415,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-fletchers-cove-3-1,Fletchers Cove,access_point,3.1,,38.918691,-77.102019,co_canal_association_access_points|nps_recreation_guide
nps-fletchers-cove-3-1,Fletchers Cove,recreation_location,3.1,,38.921734,-77.103655,nps_recreation_guide|nps_towpath_reference
access-chain-bridge-4-0,Chain Bridge,access_point,4.0,,38.932841,-77.112844,co_canal_association_access_points
access-brookmont-footbridge-5-0,Brookmont footbridge,access_point,5.0,,38.939982,-77.120157,co_canal_association_access_points
lock-5,Lock 5,lock,5.0,,38.943533,-77.123622,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-lock-6-5-4,Lock 6,access_point,5.4,,38.944737,-77.123348,co_canal_association_access_points|nps_recreation_guide
access-valley-road-brookmont-5-4,Valley Road (Brookmont),access_point,5.4,,38.94546,-77.122672,co_canal_association_access_points
lock-6,Lock 6,lock,5.4,,38.948796,-77.126374,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-sycamore-island-6-4,Sycamore Island,access_point,6.4,,38.95832,-77.131465,co_canal_association_access_points|nps_recreation_guide
access-walhonding-road-footbridge-6-4,Walhonding Road footbridge,access_point,6.4,,38.958303,-77.130849,co_canal_association_access_points
nps-sycamore-island-6-5,Sycamore Island,recreation_location,6.5,,38.962255,-77.136485,nps_recreation_guide|nps_towpath_reference
access-lock-7-7-0,Lock 7,access_point,7.0,,38.964611,-77.138363,co_canal_association_access_points|nps_recreation_guide
