id,lock_number,name,common_name,mile,alternate_mile,latitude,longitude,notes,source_ids
lock-1,1,Lock 1,,0.3,0.38,38.904312,-77.062282,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-2,2,Lock 2,,0.3,0.42,38.904312,-77.062282,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-3,3,Lock 3,,0.4,0.49,38.904339,-77.06415,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-4,4,Lock 4,,0.4,0.54,38.904339,-77.06415,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-5,5,Lock 5,Brookmont Lock & Inlet #1,5.0,5.0,38.943533,-77.123622,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-6,6,Lock 6,Magazine Lock,5.4,5.4,38.948796,-77.126374,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-7,7,Lock 7,Chataqua Lock,7.0,7.0,38.967531,-77.14273,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-8,8,Lock 8,Seven Locks 1,8.3,8.33,38.971948,-77.165281,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-9,9,Lock 9,Seven Locks 2,8.7,8.7,38.972338,-77.17271,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-10,10,Lock 10,Seven Locks 3,8.8,8.79,38.972457,-77.174573,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-11,11,Lock 11,Seven Locks 4,9.0,8.97,38.972291,-77.17829,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-12,12,Lock 12,Seven Locks 5,9.3,9.29,38.971671,-77.183842,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-13,13,Lock 13,Seven Locks 6,9.4,9.37,38.971454,-77.185691,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-14,14,Lock 14,Seven Locks 7,9.5,9.47,38.971243,-77.187541,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-15,15,Lock 15,Six Locks 1,13.6,13.45,38.995503,-77.247152,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-16,16,Lock 16,Six Locks 2,13.7,13.6,38.996591,-77.248345,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-17,17,Lock 17,Six Locks 3,14.1,13.99,39.00219,-77.247714,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-18,18,Lock 18,Six Locks 4,14.2,14.09,39.003489,-77.246929,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-19,19,Lock 19,Six Locks 5,14.3,14.17,39.004788,-77.246142,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
