relationship_type,from_id,to_id,to_name,to_mile,mile_distance,source_id
nearby,access-antietam-69-5,nps-antietam-creek-69-6,Antietam Creek,69.6,0.1,
nearby,access-berm-road-125-6,nps-white-rock-126-4,White Rock,126.4,0.8,
nearby,access-berm-road-125-6,nps-little-pool-126-6,Little Pool,126.6,1.0,
nearby,access-big-slackwater-boat-ramp-85-4,nps-big-slackwater-85-5,Big Slackwater,85.5,0.1,
nearby,access-big-slackwater-boat-ramp-85-4,access-dam-no-4-84-4,Dam No. 4,84.4,1.0,
nearby,access-big-slackwater-boat-ramp-85-4,nps-dam-4-84-4,Dam 4,84.4,1.0,
nearby,access-bonds-landing-150-1,lock-60,Lock 60,149.6,0.5,
nearby,access-bonds-landing-150-1,nps-stickpile-hill-149-4,Stickpile Hill,149.4,0.7,
nearby,access-brehm-road-178-9,access-mexico-farms-178-3,Mexico Farms,178.3,0.6,
nearby,access-brookmont-footbridge-5-0,lock-5,Lock 5,5.0,0.0,
nearby,access-brookmont-footbridge-5-0,access-lock-6-5-4,Lock 6,5.4,0.4,
nearby,access-brookmont-footbridge-5-0,access-valley-road-brookmont-5-4,Valley Road (Brookmont),5.4,0.4,
nearby,access-brookmont-footbridge-5-0,lock-6,Lock 6,5.4,0.4,
nearby,access-brookmont-footbridge-5-0,access-chain-bridge-4-0,Chain Bridge,4.0,1.0,
nearby,access-brunswick-55-0,lock-30,Lock 30,55.0,0.0,
nearby,access-brunswick-55-0,nps-brunswick-55-0,Brunswick,55.0,0.0,
nearby,access-cabin-john-aqueduct-7-7,access-lock-8-8-3,Lock 8,8.3,0.6,
nearby,access-cabin-john-aqueduct-7-7,access-riverside-drive-8-3,Riverside Drive,8.3,0.6,
nearby,access-cabin-john-aqueduct-7-7,lock-8,Lock 8,8.3,0.6,
nearby,access-cabin-john-aqueduct-7-7,access-lock-7-7-0,Lock 7,7.0,0.7,
nearby,access-cabin-john-aqueduct-7-7,lock-7,Lock 7,7.0,0.7,
nearby,access-cabin-john-aqueduct-7-7,lock-9,Lock 9,8.7,1.0,
nearby,access-canal-parkway-182-6,access-elizabeth-street-183-1,Elizabeth Street,183.1,0.5,
nearby,access-canal-parkway-182-6,access-candoc-recreation-area-181-8,Candoc Recreation Area,181.8,0.8,
nearby,access-candoc-recreation-area-181-8,access-canal-parkway-182-6,Canal Parkway,182.6,0.8,
nearby,access-carderock-10-4,nps-carderock-10-5,Carderock,10.5,0.0,
nearby,access-carderock-10-4,access-marsden-tract-11-4,Marsden Tract,11.4,0.6,
nearby,access-carderock-10-4,nps-marsden-tract-11-5,Marsden Tract,11.5,0.7,
nearby,access-carderock-10-4,lock-14,Lock 14,9.5,0.9,
nearby,access-carderock-10-4,lock-13,Lock 13,9.4,1.0,
nearby,access-chain-bridge-4-0,access-fletchers-cove-3-1,Fletchers Cove,3.1,0.9,
nearby,access-chain-bridge-4-0,nps-fletchers-cove-3-1,Fletchers Cove,3.1,0.9,
nearby,access-chain-bridge-4-0,access-brookmont-footbridge-5-0,Brookmont footbridge,5.0,1.0,
nearby,access-chain-bridge-4-0,lock-5,Lock 5,5.0,1.0,
nearby,access-cohill-station-130-7,nps-cohill-station-130-7,Cohill Station,130.7,0.0,
nearby,access-cohill-station-130-7,lock-53,Lock 53,130.1,0.6,
nearby,access-cohill-station-130-7,nps-leopards-mill-129-9,Leopards Mill,129.9,0.8,
nearby,access-cumberland-visitor-center-184-5,nps-canal-terminus-cumberland-184-5,Canal Terminus (Cumberland),184.5,0.0,
nearby,access-dam-no-4-84-4,nps-dam-4-84-4,Dam 4,84.4,0.0,
nearby,access-dam-no-4-84-4,access-big-slackwater-boat-ramp-85-4,Big Slackwater Boat Ramp,85.4,1.0,
nearby,access-dam-no-5-106-8,nps-dam-5-106-8,Dam 5,106.8,0.0,
nearby,access-dam-no-5-106-8,lock-45,Lock 45,107.0,0.2,
nearby,access-dam-no-5-106-8,lock-46,Lock 46,107.2,0.4,
nearby,access-dam-no-5-106-8,access-dam-no-5-road-106-2,Dam No. 5 Road,106.2,0.6,
nearby,access-dam-no-5-106-8,access-lock-46-107-4,Lock 46,107.4,0.6,
nearby,access-dam-no-5-road-106-2,access-dam-no-5-106-8,Dam No. 5,106.8,0.6,
nearby,access-dam-no-5-road-106-2,nps-dam-5-106-8,Dam 5,106.8,0.6,
nearby,access-dam-no-5-road-106-2,lock-45,Lock 45,107.0,0.8,
nearby,access-dam-no-5-road-106-2,lock-46,Lock 46,107.2,1.0,
nearby,access-dargan-bend-64-9,nps-dargan-bend-64-9,Dargan Bend,64.9,0.0,
nearby,access-dickerson-conservation-park-39-6,lock-26,Lock 26,39.4,0.2,
nearby,access-edwards-ferry-30-8,lock-25,Lock 25,30.8,0.0,
nearby,access-edwards-ferry-30-8,nps-edwards-ferry-30-8,Edwards Ferry,30.8,0.0,
nearby,access-edwards-ferry-30-8,nps-chisel-branch-30-5,Chisel Branch,30.5,0.3,
nearby,access-elizabeth-street-183-1,access-canal-parkway-182-6,Canal Parkway,182.6,0.5,
nearby,access-ernstville-road-114-5,nps-big-pool-113-8,Big Pool,113.8,0.7,
nearby,access-fletchers-cove-3-1,nps-fletchers-cove-3-1,Fletchers Cove,3.1,0.0,
nearby,access-fletchers-cove-3-1,access-chain-bridge-4-0,Chain Bridge,4.0,0.9,
nearby,access-fort-frederick-112-4,nps-fort-frederick-state-park-112-4,Fort Frederick State Park,112.4,0.0,
nearby,access-four-locks-108-8,lock-48,Lock 48,108.8,0.0,
nearby,access-four-locks-108-8,lock-47,Lock 47,108.7,0.1,
nearby,access-four-locks-108-8,lock-49,Lock 49,108.9,0.1,
nearby,access-four-locks-108-8,lock-50,Lock 50,109.0,0.2,
nearby,access-four-locks-108-8,nps-four-locks-109-0,Four Locks,109.0,0.2,
nearby,access-georgetown-0-0,lock-1,Lock 1,0.3,0.0,
nearby,access-georgetown-0-0,lock-2,Lock 2,0.3,0.0,
nearby,access-georgetown-0-0,lock-3,Lock 3,0.4,0.0,
nearby,access-georgetown-0-0,lock-4,Lock 4,0.4,0.0,
nearby,access-georgetown-0-0,nps-thompson-boat-center-0-1,Thompson Boat Center,0.1,0.0,
nearby,access-great-falls-14-3,lock-19,Lock 19,14.3,0.0,
nearby,access-great-falls-14-3,nps-great-falls-14-3,Great Falls,14.3,0.0,
nearby,access-great-falls-14-3,lock-18,Lock 18,14.2,0.1,
nearby,access-great-falls-14-3,lock-20,Lock 20,14.4,0.1,
nearby,access-great-falls-14-3,lock-17,Lock 17,14.1,0.2,
nearby,access-great-falls-14-3,lock-16,Lock 16,13.7,0.6,
nearby,access-great-falls-14-3,lock-15,Lock 15,13.6,0.7,
nearby,access-hancock-124-1,nps-little-tonoloway-hancock-124-5,Little Tonoloway (Hancock),124.5,0.4,
nearby,access-hancock-visitor-center-122-8,lock-51,Lock 51,122.7,0.1,
nearby,access-hancock-visitor-center-122-8,lock-52,Lock 52,122.9,0.1,
nearby,access-kasecamp-road-147-1,lock-59,Lock 59,146.5,0.6,
nearby,access-lander-50-9,lock-29,Lock 29,50.8,0.1,
nearby,access-lander-50-9,nps-bald-eagle-island-50-3,Bald Eagle Island,50.3,0.6,
nearby,access-licking-creek-116-3,nps-licking-creek-116-0,Licking Creek,116.0,0.3,
nearby,access-little-orleans-140-8,nps-fifteenmile-creek-140-9,Fifteenmile Creek,140.9,0.1,
nearby,access-lock-10-8-8,lock-10,Lock 10,8.8,0.0,
nearby,access-lock-10-8-8,lock-9,Lock 9,8.7,0.1,
nearby,access-lock-10-8-8,lock-11,Lock 11,9.0,0.2,
nearby,access-lock-10-8-8,access-lock-8-8-3,Lock 8,8.3,0.5,
nearby,access-lock-10-8-8,access-riverside-drive-8-3,Riverside Drive,8.3,0.5,
nearby,access-lock-10-8-8,lock-12,Lock 12,9.3,0.5,
nearby,access-lock-10-8-8,lock-8,Lock 8,8.3,0.5,
nearby,access-lock-10-8-8,lock-13,Lock 13,9.4,0.6,
nearby,access-lock-10-8-8,lock-14,Lock 14,9.5,0.7,
nearby,access-lock-34-61-6,lock-34,Lock 34,61.5,0.1,
nearby,access-lock-34-61-6,access-maryland-heights-61-3,Maryland Heights,61.3,0.3,
nearby,access-lock-34-61-6,nps-huckleberry-hill-62-0,Huckleberry Hill,62.0,0.4,
nearby,access-lock-34-61-6,lock-35,Lock 35,62.3,0.7,
nearby,access-lock-34-61-6,lock-33,Lock 33,60.7,0.9,
nearby,access-lock-34-61-6,lock-36,Lock 36,62.5,0.9,
nearby,access-lock-38-shepherdstown-72-8,nps-ferry-hill-72-8,Ferry Hill,72.8,0.0,
nearby,access-lock-38-shepherdstown-72-8,lock-38,Lock 38,72.7,0.1,
nearby,access-lock-38-shepherdstown-72-8,access-railroad-bridge-shepherdstown-72-4,Railroad bridge (Shepherdstown),72.4,0.4,
nearby,access-lock-44-99-3,lock-44,Lock 44,99.1,0.2,
nearby,access-lock-44-99-3,access-williamsport-visitor-center-99-8,Williamsport Visitor Center,99.8,0.5,
nearby,access-lock-44-99-3,nps-cushwa-basin-williamsport-99-8,Cushwa Basin (Williamsport),99.8,0.5,
nearby,access-lock-46-107-4,lock-46,Lock 46,107.2,0.2,
nearby,access-lock-46-107-4,lock-45,Lock 45,107.0,0.4,
nearby,access-lock-46-107-4,access-dam-no-5-106-8,Dam No. 5,106.8,0.6,
nearby,access-lock-46-107-4,nps-dam-5-106-8,Dam 5,106.8,0.6,
nearby,access-lock-56-pearre-136-2,lock-56,Lock 56,136.2,0.0,
nearby,access-lock-56-pearre-136-2,access-wmrt-pearre-parking-lot-135-9,WMRT Pearre parking lot,135.9,0.3,
nearby,access-lock-6-5-4,access-valley-road-brookmont-5-4,Valley Road (Brookmont),5.4,0.0,
nearby,access-lock-6-5-4,lock-6,Lock 6,5.4,0.0,
nearby,access-lock-6-5-4,access-brookmont-footbridge-5-0,Brookmont footbridge,5.0,0.4,
nearby,access-lock-6-5-4,lock-5,Lock 5,5.0,0.4,
nearby,access-lock-6-5-4,access-sycamore-island-6-4,Sycamore Island,6.4,1.0,
nearby,access-lock-6-5-4,access-walhonding-road-footbridge-6-4,Walhonding Road footbridge,6.4,1.0,
nearby,access-lock-67-161-9,lock-67,Lock 67,161.7,0.2,
nearby,access-lock-67-161-9,nps-town-creek-162-1,Town Creek,162.1,0.2,
nearby,access-lock-67-161-9,access-town-creek-aqueduct-162-3,Town Creek Aqueduct,162.3,0.4,
nearby,access-lock-7-7-0,lock-7,Lock 7,7.0,0.0,
nearby,access-lock-7-7-0,nps-sycamore-island-6-5,Sycamore Island,6.5,0.5,
nearby,access-lock-7-7-0,access-sycamore-island-6-4,Sycamore Island,6.4,0.6,
nearby,access-lock-7-7-0,access-walhonding-road-footbridge-6-4,Walhonding Road footbridge,6.4,0.6,
nearby,access-lock-7-7-0,access-cabin-john-aqueduct-7-7,Cabin John Aqueduct,7.7,0.7,
nearby,access-lock-8-8-3,access-riverside-drive-8-3,Riverside Drive,8.3,0.0,
nearby,access-lock-8-8-3,lock-8,Lock 8,8.3,0.0,
nearby,access-lock-8-8-3,lock-9,Lock 9,8.7,0.4,
nearby,access-lock-8-8-3,access-lock-10-8-8,Lock 10,8.8,0.5,
nearby,access-lock-8-8-3,lock-10,Lock 10,8.8,0.5,
nearby,access-lock-8-8-3,access-cabin-john-aqueduct-7-7,Cabin John Aqueduct,7.7,0.6,
nearby,access-lock-8-8-3,lock-11,Lock 11,9.0,0.7,
nearby,access-lock-8-8-3,lock-12,Lock 12,9.3,1.0,
nearby,access-marsden-tract-11-4,nps-marsden-tract-11-5,Marsden Tract,11.5,0.1,
nearby,access-marsden-tract-11-4,access-old-angler-s-inn-12-2,Old Angler's Inn,12.2,0.8,
nearby,access-marsden-tract-11-4,nps-anglers-access-12-2,Anglers Access,12.2,0.8,
nearby,access-marsden-tract-11-4,nps-carderock-10-5,Carderock,10.5,0.9,
nearby,access-marsden-tract-11-4,access-carderock-10-4,Carderock,10.4,1.0,
nearby,access-maryland-heights-61-3,lock-34,Lock 34,61.5,0.2,
nearby,access-maryland-heights-61-3,access-lock-34-61-6,Lock 34,61.6,0.3,
nearby,access-maryland-heights-61-3,lock-33,Lock 33,60.7,0.6,
nearby,access-maryland-heights-61-3,nps-huckleberry-hill-62-0,Huckleberry Hill,62.0,0.7,
nearby,access-maryland-heights-61-3,lock-35,Lock 35,62.3,1.0,
nearby,access-mccoys-ferry-110-4,nps-mccoys-ferry-110-4,McCoys Ferry,110.4,0.0,
nearby,access-mccoys-ferry-110-4,nps-north-mountain-110-0,North Mountain,110.0,0.4,
nearby,access-mcmahons-mill-88-1,nps-mcmahons-mill-88-1,McMahons Mill,88.1,0.0,
nearby,access-mcmahons-mill-88-1,lock-41,Lock 41,88.9,0.8,
nearby,access-mcmahons-mill-88-1,lock-42,Lock 42,89.0,0.9,
nearby,access-mcmahons-mill-88-1,access-spring-dell-road-89-1,Spring Dell Road,89.1,1.0,
nearby,access-mexico-farms-178-3,access-brehm-road-178-9,Brehm Road,178.9,0.6,
nearby,access-monocacy-aqueduct-42-1,nps-monocacy-aqueduct-42-2,Monocacy Aqueduct,42.2,0.1,
nearby,access-monocacy-aqueduct-42-1,nps-indian-flats-42-5,Indian Flats,42.5,0.4,
nearby,access-monocacy-aqueduct-42-1,lock-27,Lock 27,41.5,0.6,
nearby,access-mountain-lock-67-0,lock-37,Lock 37,66.9,0.1,
nearby,access-nolands-ferry-44-6,nps-nolands-ferry-44-6,Nolands Ferry,44.6,0.0,
nearby,access-north-branch-175-6,lock-74,Lock 74,175.5,0.1,
nearby,access-north-branch-175-6,lock-75,Lock 75,175.7,0.1,
nearby,access-north-branch-175-6,lock-73,Lock 73,175.4,0.2,
nearby,access-north-branch-175-6,nps-irons-mountain-175-3,Irons Mountain,175.3,0.3,
nearby,access-north-branch-175-6,access-river-road-176-4,River Road,176.4,0.8,
nearby,access-old-angler-s-inn-12-2,nps-anglers-access-12-2,Anglers Access,12.2,0.0,
nearby,access-old-angler-s-inn-12-2,nps-marsden-tract-11-5,Marsden Tract,11.5,0.7,
nearby,access-old-angler-s-inn-12-2,access-marsden-tract-11-4,Marsden Tract,11.4,0.8,
nearby,access-oldtown-lock-70-166-7,lock-70,Lock 70,166.7,0.0,
nearby,access-oldtown-lock-70-166-7,nps-oldtown-battie-mixon-166-7,Oldtown Battie Mixon,166.7,0.0,
nearby,access-oldtown-lock-70-166-7,lock-69,Lock 69,166.5,0.2,
nearby,access-oldtown-lock-70-166-7,lock-71,Lock 71,167.0,0.3,
nearby,access-paw-paw-tunnel-156-2,nps-paw-paw-156-1,Paw Paw,156.1,0.1,
nearby,access-paw-paw-tunnel-156-2,nps-purslane-run-156-9,Purslane Run,156.9,0.7,
nearby,access-pearre-road-dam-6-134-0,lock-54,Lock 54,134.0,0.0,
nearby,access-pearre-road-dam-6-134-0,lock-55,Lock 55,134.2,0.2,
nearby,access-pearre-road-dam-6-134-0,nps-cacapon-juntion-133-6,Cacapon Juntion,133.6,0.4,
nearby,access-pennyfield-lock-19-6,lock-22,Lock 22,19.6,0.0,
nearby,access-point-of-rocks-48-2,nps-point-of-rocks-48-2,Point of Rocks,48.2,0.0,
nearby,access-point-of-rocks-48-2,nps-calico-rocks-47-6,Calico Rocks,47.6,0.6,
nearby,access-point-of-rocks-48-2,lock-28,Lock 28,48.9,0.7,
nearby,access-railroad-bridge-shepherdstown-72-4,lock-38,Lock 38,72.7,0.3,
nearby,access-railroad-bridge-shepherdstown-72-4,access-lock-38-shepherdstown-72-8,Lock 38 (Shepherdstown),72.8,0.4,
nearby,access-railroad-bridge-shepherdstown-72-4,nps-ferry-hill-72-8,Ferry Hill,72.8,0.4,
nearby,access-rileys-lock-22-8,lock-24,Lock 24,22.8,0.0,
nearby,access-rileys-lock-22-8,nps-seneca-rileys-lock-22-8,Seneca (Rileys Lock),22.8,0.0,
nearby,access-rileys-lock-22-8,access-violettes-lock-22-1,Violettes Lock,22.1,0.7,
nearby,access-rileys-lock-22-8,lock-23,Lock 23,22.1,0.7,
nearby,access-river-road-176-4,lock-75,Lock 75,175.7,0.7,
nearby,access-river-road-176-4,access-north-branch-175-6,North Branch,175.6,0.8,
nearby,access-river-road-176-4,lock-74,Lock 74,175.5,0.9,
nearby,access-river-road-176-4,lock-73,Lock 73,175.4,1.0,
nearby,access-riverside-drive-8-3,access-lock-8-8-3,Lock 8,8.3,0.0,
nearby,access-riverside-drive-8-3,lock-8,Lock 8,8.3,0.0,
nearby,access-riverside-drive-8-3,lock-9,Lock 9,8.7,0.4,
nearby,access-riverside-drive-8-3,access-lock-10-8-8,Lock 10,8.8,0.5,
nearby,access-riverside-drive-8-3,lock-10,Lock 10,8.8,0.5,
nearby,access-riverside-drive-8-3,access-cabin-john-aqueduct-7-7,Cabin John Aqueduct,7.7,0.6,
nearby,access-riverside-drive-8-3,lock-11,Lock 11,9.0,0.7,
nearby,access-riverside-drive-8-3,lock-12,Lock 12,9.3,1.0,
nearby,access-snyders-landing-76-7,nps-snyders-landing-76-6,Snyders Landing,76.6,0.1,
nearby,access-spring-dell-road-89-1,lock-42,Lock 42,89.0,0.1,
nearby,access-spring-dell-road-89-1,lock-41,Lock 41,88.9,0.2,
nearby,access-spring-dell-road-89-1,access-mcmahons-mill-88-1,McMahons Mill,88.1,1.0,
nearby,access-spring-dell-road-89-1,nps-mcmahons-mill-88-1,McMahons Mill,88.1,1.0,
nearby,access-spring-gap-173-3,nps-spring-gap-173-3,Spring Gap,173.3,0.0,
nearby,access-swains-lock-16-6,lock-21,Lock 21,16.7,0.1,
nearby,access-sycamore-island-6-4,access-walhonding-road-footbridge-6-4,Walhonding Road footbridge,6.4,0.0,
nearby,access-sycamore-island-6-4,nps-sycamore-island-6-5,Sycamore Island,6.5,0.1,
nearby,access-sycamore-island-6-4,access-lock-7-7-0,Lock 7,7.0,0.6,
nearby,access-sycamore-island-6-4,lock-7,Lock 7,7.0,0.6,
nearby,access-sycamore-island-6-4,access-lock-6-5-4,Lock 6,5.4,1.0,
nearby,access-sycamore-island-6-4,access-valley-road-brookmont-5-4,Valley Road (Brookmont),5.4,1.0,
nearby,access-sycamore-island-6-4,lock-6,Lock 6,5.4,1.0,
nearby,access-sycamore-landing-27-2,nps-sycamore-landing-27-2,Sycamore Landing,27.2,0.0,
nearby,access-taylors-landing-81-0,nps-taylors-landing-80-9,Taylors Landing,80.9,0.1,
nearby,access-town-creek-aqueduct-162-3,nps-town-creek-162-1,Town Creek,162.1,0.2,
nearby,access-town-creek-aqueduct-162-3,access-lock-67-161-9,Lock 67,161.9,0.4,
nearby,access-town-creek-aqueduct-162-3,lock-67,Lock 67,161.7,0.6,
nearby,access-twigg-hollow-153-3,lock-61,Lock 61,153.1,0.2,
nearby,access-twigg-hollow-153-3,lock-62,Lock 62,154.1,0.8,
nearby,access-twigg-hollow-153-3,nps-sorrel-ridge-154-1,Sorrel Ridge,154.1,0.8,
nearby,access-valley-road-brookmont-5-4,access-lock-6-5-4,Lock 6,5.4,0.0,
nearby,access-valley-road-brookmont-5-4,lock-6,Lock 6,5.4,0.0,
nearby,access-valley-road-brookmont-5-4,access-brookmont-footbridge-5-0,Brookmont footbridge,5.0,0.4,
nearby,access-valley-road-brookmont-5-4,lock-5,Lock 5,5.0,0.4,
nearby,access-valley-road-brookmont-5-4,access-sycamore-island-6-4,Sycamore Island,6.4,1.0,
nearby,access-valley-road-brookmont-5-4,access-walhonding-road-footbridge-6-4,Walhonding Road footbridge,6.4,1.0,
nearby,access-violettes-lock-22-1,lock-23,Lock 23,22.1,0.0,
nearby,access-violettes-lock-22-1,access-rileys-lock-22-8,Rileys Lock,22.8,0.7,
nearby,access-violettes-lock-22-1,lock-24,Lock 24,22.8,0.7,
nearby,access-violettes-lock-22-1,nps-seneca-rileys-lock-22-8,Seneca (Rileys Lock),22.8,0.7,
nearby,access-walhonding-road-footbridge-6-4,access-sycamore-island-6-4,Sycamore Island,6.4,0.0,
nearby,access-walhonding-road-footbridge-6-4,nps-sycamore-island-6-5,Sycamore Island,6.5,0.1,
nearby,access-walhonding-road-footbridge-6-4,access-lock-7-7-0,Lock 7,7.0,0.6,
nearby,access-walhonding-road-footbridge-6-4,lock-7,Lock 7,7.0,0.6,
nearby,access-walhonding-road-footbridge-6-4,access-lock-6-5-4,Lock 6,5.4,1.0,
nearby,access-walhonding-road-footbridge-6-4,access-valley-road-brookmont-5-4,Valley Road (Brookmont),5.4,1.0,
nearby,access-walhonding-road-footbridge-6-4,lock-6,Lock 6,5.4,1.0,
nearby,access-weverton-58-0,lock-31,Lock 31,58.0,0.0,
nearby,access-whites-ferry-35-5,nps-whites-ferry-35-5,Whites Ferry,35.5,0.0,
nearby,access-williamsport-visitor-center-99-8,nps-cushwa-basin-williamsport-99-8,Cushwa Basin (Williamsport),99.8,0.0,
nearby,access-williamsport-visitor-center-99-8,access-lock-44-99-3,Lock 44,99.3,0.5,
nearby,access-williamsport-visitor-center-99-8,lock-44,Lock 44,99.1,0.7,
nearby,access-wmrt-pearre-parking-lot-135-9,access-lock-56-pearre-136-2,Lock 56 (Pearre),136.2,0.3,
nearby,access-wmrt-pearre-parking-lot-135-9,lock-56,Lock 56,136.2,0.3,
source_match,access-antietam-69-5,nps-antietam-creek-69-6,Antietam Creek,69.6,0.1,nps_recreation_guide
source_match,access-big-slackwater-boat-ramp-85-4,nps-big-slackwater-85-5,Big Slackwater,85.5,0.1,nps_recreation_guide
source_match,access-brunswick-55-0,nps-brunswick-55-0,Brunswick,55.0,0.0,nps_recreation_guide
source_match,access-carderock-10-4,nps-carderock-10-5,Carderock,10.5,0.0,nps_recreation_guide
source_match,access-cohill-station-130-7,nps-cohill-station-130-7,Cohill Station,130.7,0.0,nps_recreation_guide
source_match,access-cumberland-visitor-center-184-5,nps-canal-terminus-cumberland-184-5,Canal Terminus (Cumberland),184.5,0.0,nps_recreation_guide
source_match,access-dam-no-4-84-4,nps-dam-4-84-4,Dam 4,84.4,0.0,nps_recreation_guide
source_match,access-dam-no-5-106-8,nps-dam-5-106-8,Dam 5,106.8,0.0,nps_recreation_guide
